"E5100A REV3.31"
"DATE: Mar 19 2044"



"CHANNEL: 1"
"MEASURE TYPE: AR"
"FORMAT TYPE: MAGZP"
"NUMBER of POINTS: 201"
"SWEEP TIME:  64.32 ms"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 30 kHz"

"Frequency"	"Main Array"	"Sub Array"
2.64001200000E+08	3.883392E+02	-3.592663E+01
2.65501150000E+08	3.890451E+02	-3.613496E+01
2.67001100000E+08	3.876923E+02	-3.653361E+01
2.68501050000E+08	3.870145E+02	-3.657012E+01
2.70001000000E+08	3.888240E+02	-3.667607E+01
2.71500950000E+08	3.875471E+02	-3.694403E+01
2.73000900000E+08	3.865949E+02	-3.729898E+01
2.74500850000E+08	3.855516E+02	-3.752393E+01
2.76000800000E+08	3.857976E+02	-3.787221E+01
2.77500750000E+08	3.850198E+02	-3.827381E+01
2.79000700000E+08	3.842654E+02	-3.840734E+01
2.80500650000E+08	3.831465E+02	-3.834529E+01
2.82000600000E+08	3.826165E+02	-3.862265E+01
2.83500550000E+08	3.810079E+02	-3.891967E+01
2.85000500000E+08	3.798395E+02	-3.924955E+01
2.86500450000E+08	3.794323E+02	-3.926308E+01
2.88000400000E+08	3.794991E+02	-3.954473E+01
2.89500350000E+08	3.775034E+02	-3.955606E+01
2.91000300000E+08	3.777202E+02	-3.965467E+01
2.92500250000E+08	3.766263E+02	-3.993234E+01
2.94000200000E+08	3.749798E+02	-4.001984E+01
2.95500150000E+08	3.735638E+02	-4.024872E+01
2.97000100000E+08	3.746726E+02	-4.064745E+01
2.98500050000E+08	3.742161E+02	-4.055225E+01
3.00000000000E+08	3.731899E+02	-4.070046E+01
